"","sensor","time","pm_1","pm_25","pm_10","location","day","sen","build_age","direction"
"93",3,94542,23,37,48,"in","Tuesday","03","new","east"
"94",3,95455,23,38,49,"in","Tuesday","03","new","east"
"95",3,96368,24,38,49,"in","Tuesday","03","new","east"
"96",3,97281,23,38,48,"in","Tuesday","03","new","east"
"97",3,98194,23,39,49,"in","Tuesday","03","new","east"
"98",3,99106,24,39,49,"in","Tuesday","03","new","east"
"99",3,100019,24,39,48,"in","Tuesday","03","new","east"
"100",3,100932,23,39,49,"in","Tuesday","03","new","east"
"101",3,101844,23,39,48,"in","Tuesday","03","new","east"
"102",3,102757,22,38,47,"in","Tuesday","03","new","east"
"103",3,103669,22,37,44,"in","Tuesday","03","new","east"
"104",3,104583,23,39,47,"in","Tuesday","03","new","east"
"105",3,105495,23,39,46,"in","Tuesday","03","new","east"
"106",3,106407,23,39,48,"in","Tuesday","03","new","east"
"107",3,107249,23,39,48,"in","Tuesday","03","new","east"
"108",3,108090,23,39,48,"in","Tuesday","03","new","east"
"109",3,109003,23,38,47,"in","Tuesday","03","new","east"
"110",3,109844,23,38,47,"in","Tuesday","03","new","east"
"111",3,110686,23,38,47,"in","Tuesday","03","new","east"
"112",3,111598,23,38,47,"in","Tuesday","03","new","east"
"113",3,112440,23,38,47,"in","Tuesday","03","new","east"
"114",3,113281,22,37,46,"in","Tuesday","03","new","east"
"115",3,114194,22,37,46,"in","Tuesday","03","new","east"
"116",3,115035,22,37,46,"in","Tuesday","03","new","east"
"117",3,115876,22,37,46,"in","Tuesday","03","new","east"
"118",3,116789,21,35,43,"in","Tuesday","03","new","east"
"119",3,117629,21,35,43,"in","Tuesday","03","new","east"
"120",3,118471,21,35,43,"in","Tuesday","03","new","east"
"121",3,119384,21,35,43,"in","Tuesday","03","new","east"
"122",3,120225,21,35,43,"in","Tuesday","03","new","east"
"123",3,121066,21,35,43,"in","Tuesday","03","new","east"
"124",3,121978,22,35,43,"in","Tuesday","03","new","east"
"125",3,122820,22,35,43,"in","Tuesday","03","new","east"
"126",3,123661,22,35,43,"in","Tuesday","03","new","east"
"127",3,124574,22,35,44,"in","Tuesday","03","new","east"
"128",3,125416,23,36,45,"in","Tuesday","03","new","east"
"129",3,126257,23,36,45,"in","Tuesday","03","new","east"
"130",3,127169,23,36,45,"in","Tuesday","03","new","east"
"131",3,128011,23,36,45,"in","Tuesday","03","new","east"
"132",3,128851,23,36,45,"in","Tuesday","03","new","east"
"133",3,129765,23,37,46,"in","Tuesday","03","new","east"
"134",3,130606,23,37,46,"in","Tuesday","03","new","east"
"135",3,131447,23,37,46,"in","Tuesday","03","new","east"
"136",3,132360,23,36,45,"in","Tuesday","03","new","east"
"137",3,133201,23,36,45,"in","Tuesday","03","new","east"
"138",3,134042,23,36,45,"in","Tuesday","03","new","east"
"139",3,134956,23,37,46,"in","Tuesday","03","new","east"
"140",3,135869,24,39,48,"in","Tuesday","03","new","east"
"141",3,136781,23,38,48,"in","Tuesday","03","new","east"
"142",3,137694,23,39,49,"in","Tuesday","03","new","east"
"143",3,138606,22,39,51,"in","Tuesday","03","new","east"
"144",3,139520,23,40,52,"in","Tuesday","03","new","east"
"145",3,140432,24,41,53,"in","Tuesday","03","new","east"
"146",3,141345,24,41,52,"in","Tuesday","03","new","east"
"147",3,142258,25,42,53,"in","Tuesday","03","new","east"
"148",3,143171,25,42,53,"in","Tuesday","03","new","east"
"149",3,144083,23,41,52,"in","Tuesday","03","new","east"
"150",3,144996,23,40,50,"in","Tuesday","03","new","east"
"151",3,145909,23,40,51,"in","Tuesday","03","new","east"
"152",3,146822,23,41,52,"in","Tuesday","03","new","east"
"153",3,147663,23,41,52,"in","Tuesday","03","new","east"
"154",3,148576,23,40,49,"in","Tuesday","03","new","east"
"155",3,149487,24,40,50,"in","Tuesday","03","new","east"
"156",3,150400,23,39,50,"in","Tuesday","03","new","east"
"157",3,151313,23,40,51,"in","Tuesday","03","new","east"
"158",3,152225,22,39,51,"in","Tuesday","03","new","east"
"159",3,153138,22,37,49,"in","Tuesday","03","new","east"
"160",3,154050,21,38,49,"in","Tuesday","03","new","east"
"161",3,154962,21,38,51,"in","Tuesday","03","new","east"
"162",3,155875,20,35,49,"in","Tuesday","03","new","east"
"163",3,156787,19,34,46,"in","Tuesday","03","new","east"
"164",3,157700,19,34,46,"in","Tuesday","03","new","east"
"165",3,158612,19,33,43,"in","Tuesday","03","new","east"
"166",3,159524,19,32,42,"in","Tuesday","03","new","east"
"167",3,160365,19,32,42,"in","Tuesday","03","new","east"
"168",3,161207,19,32,42,"in","Tuesday","03","new","east"
"169",3,162119,19,31,40,"in","Tuesday","03","new","east"
"170",3,162960,19,31,40,"in","Tuesday","03","new","east"
"171",3,163802,19,31,40,"in","Tuesday","03","new","east"
"172",3,164713,17,30,36,"in","Tuesday","03","new","east"
"173",3,165555,17,30,36,"in","Tuesday","03","new","east"
"174",3,166396,17,30,36,"in","Tuesday","03","new","east"
"175",3,167308,17,30,37,"in","Tuesday","03","new","east"
"176",3,168150,17,30,37,"in","Tuesday","03","new","east"
"177",3,168990,17,30,37,"in","Tuesday","03","new","east"
"178",3,169903,18,30,37,"in","Tuesday","03","new","east"
"179",3,170744,18,30,37,"in","Tuesday","03","new","east"
"180",3,171586,18,30,37,"in","Tuesday","03","new","east"
"181",3,172498,18,30,34,"in","Tuesday","03","new","east"
"182",3,173339,18,30,34,"in","Tuesday","03","new","east"
"183",3,174181,18,30,34,"in","Tuesday","03","new","east"
"184",3,175093,18,30,34,"in","Tuesday","03","new","east"
"185",3,175934,18,30,34,"in","Tuesday","03","new","east"
"186",3,176776,18,30,34,"in","Tuesday","03","new","east"
"187",3,177688,18,30,34,"in","Tuesday","03","new","east"
"188",3,178529,18,30,34,"in","Tuesday","03","new","east"
"189",3,179371,18,30,34,"in","Tuesday","03","new","east"
"190",3,180282,18,29,34,"in","Tuesday","03","new","east"
"191",3,181124,18,29,34,"in","Tuesday","03","new","east"
"192",3,181965,19,30,35,"in","Tuesday","03","new","east"
"193",3,182878,20,32,39,"in","Tuesday","03","new","east"
"194",3,183789,20,32,40,"in","Tuesday","03","new","east"
"195",3,184702,19,32,39,"in","Tuesday","03","new","east"
"196",3,185615,19,33,41,"in","Tuesday","03","new","east"
"197",3,186527,19,34,43,"in","Tuesday","03","new","east"
"198",3,187440,20,34,43,"in","Tuesday","03","new","east"
"199",3,188352,20,36,45,"in","Tuesday","03","new","east"
"200",3,189264,20,36,44,"in","Tuesday","03","new","east"
"201",3,190178,21,38,48,"in","Tuesday","03","new","east"
"202",3,191090,23,40,53,"in","Tuesday","03","new","east"
"203",3,192004,23,40,52,"in","Tuesday","03","new","east"
"204",3,192916,24,41,53,"in","Tuesday","03","new","east"
"205",3,193829,24,42,53,"in","Tuesday","03","new","east"
"206",3,194670,24,42,53,"in","Tuesday","03","new","east"
"207",3,195512,24,42,53,"in","Tuesday","03","new","east"
"208",3,196424,23,40,53,"in","Tuesday","03","new","east"
"209",3,197265,23,40,53,"in","Tuesday","03","new","east"
"210",3,198107,23,40,53,"in","Tuesday","03","new","east"
"211",3,199019,23,39,51,"in","Tuesday","03","new","east"
"212",3,199861,24,40,52,"in","Tuesday","03","new","east"
"213",3,200701,24,40,52,"in","Tuesday","03","new","east"
"214",3,201614,24,40,53,"in","Tuesday","03","new","east"
"215",3,202456,24,40,53,"in","Tuesday","03","new","east"
"216",3,203296,24,40,53,"in","Tuesday","03","new","east"
"217",3,204209,23,40,53,"in","Tuesday","03","new","east"
"218",3,205050,23,40,53,"in","Tuesday","03","new","east"
"219",3,205891,22,39,52,"in","Tuesday","03","new","east"
"220",3,206804,23,39,53,"in","Tuesday","03","new","east"
"221",3,207645,23,39,53,"in","Tuesday","03","new","east"
"222",3,208487,23,39,53,"in","Tuesday","03","new","east"
"223",3,209399,23,39,52,"in","Tuesday","03","new","east"
"224",3,210241,23,39,52,"in","Tuesday","03","new","east"
"225",3,211082,23,39,52,"in","Tuesday","03","new","east"
"226",3,211994,23,40,50,"in","Tuesday","03","new","east"
"227",3,212836,23,40,50,"in","Tuesday","03","new","east"
